entity_type,entity_id,change_type,metric_trigger,before_value,after_value,explanation
Template — Content,TPL-CC906E7D,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (trial) | Goal: Habit formation → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 2: Accomplishment/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-4A53BADC,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (trial) | Goal: Habit formation → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 2: Accomplishment/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-ED34FF29,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (trial) | Goal: Habit formation → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 2: Accomplishment/Scarcity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-5CA99153,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (trial) | Goal: Habit formation → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 2: Accomplishment/Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-FA4A92E2,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (trial) | Goal: Habit formation → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 2: Accomplishment/Tangible Reward. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-B4D5946E,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (paid) | Goal: Habit formation → retention • deepening engagement & retention | Theme/Hook: Core Drive 2: Accomplishment/Sense of Accomplishment. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-ADF6CA34,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (paid) | Goal: Habit formation → retention • deepening engagement & retention | Theme/Hook: Core Drive 2: Accomplishment/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-852F9FFE,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (paid) | Goal: Habit formation → retention • deepening engagement & retention | Theme/Hook: Core Drive 2: Accomplishment/Personalized Progress. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-E7B188CA,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (paid) | Goal: Habit formation → retention • deepening engagement & retention | Theme/Hook: Core Drive 2: Accomplishment/Timely Feedback. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-7E54932C,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (paid) | Goal: Habit formation → retention • deepening engagement & retention | Theme/Hook: Core Drive 2: Accomplishment/Exclusive Reward. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-AC883535,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (churned) | Goal: Habit formation → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 2: Accomplishment/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-40D5E18B,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (churned) | Goal: Habit formation → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 2: Accomplishment/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-51DA9859,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (churned) | Goal: Habit formation → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 2: Accomplishment/Scarcity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-0C6347A6,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (churned) | Goal: Habit formation → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 2: Accomplishment/Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-C1566DC7,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (churned) | Goal: Habit formation → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 2: Accomplishment/Social Connection. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-E1DFEAE1,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (inactive) | Goal: Habit formation → retention • compelling return value proposition | Theme/Hook: Core Drive 2: Accomplishment/Sense of Accomplishment. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-0F3ACA73,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (inactive) | Goal: Habit formation → retention • compelling return value proposition | Theme/Hook: Core Drive 2: Accomplishment/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-F47774FF,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (inactive) | Goal: Habit formation → retention • compelling return value proposition | Theme/Hook: Core Drive 2: Accomplishment/Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-1E209B7F,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (inactive) | Goal: Habit formation → retention • compelling return value proposition | Theme/Hook: Core Drive 2: Accomplishment/Urgency. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-D6E14FCC,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S1 (inactive) | Goal: Habit formation → retention • compelling return value proposition | Theme/Hook: Core Drive 2: Accomplishment/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-54F54C60,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (trial) | Goal: Engagement → MCC • rapid adoption & habit formation | Theme/Hook: Core Drive 3: Empowerment/Social proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-28A2296C,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (trial) | Goal: Engagement → MCC • rapid adoption & habit formation | Theme/Hook: Core Drive 3: Empowerment/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-F035E9B6,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (trial) | Goal: Engagement → MCC • rapid adoption & habit formation | Theme/Hook: Core Drive 3: Empowerment/Gamification. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-E017703C,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (trial) | Goal: Engagement → MCC • rapid adoption & habit formation | Theme/Hook: Core Drive 3: Empowerment/Sense of Accomplishment. No experiment exposure yet — kept active for future A/B testing.
