user_id,segment_id,lifecycle_stage,lifecycle_day,daily_limit,notif_1_time,notif_1_template_id,notif_1_channel,notif_2_time,notif_2_template_id,notif_2_channel,notif_3_time,notif_3_template_id,notif_3_channel,notif_4_time,notif_4_template_id,notif_4_channel,notif_5_time,notif_5_template_id,notif_5_channel,notif_6_time,notif_6_template_id,notif_6_channel,notif_7_time,notif_7_template_id,notif_7_channel,notif_8_time,notif_8_template_id,notif_8_channel,notif_9_time,notif_9_template_id,notif_9_channel
US_1,S4,paid,17,7,06:13,TPL-54F71B34,Email,07:13,TPL-7819DB56,Push,08:54,TPL-D0FA14D6,Push,18:29,TPL-2DDF8ABB,Push,19:03,TPL-C8227619,In-App,19:57,TPL-3AE60005,Push,20:18,TPL-CF2E7CC1,Push,,,,,,
US_2,S7,churned,26,4,09:12,TPL-3DBF55D2,Push,10:44,TPL-948B56FC,Push,22:06,TPL-358F39A1,Push,23:12,TPL-3A8E2664,Push,,,,,,,,,,,,,,,
US_3,S6,trial,14,7,09:59,TPL-B1BBCB4B,Email,11:06,TPL-192F9A4D,Push,15:58,TPL-FE192BEB,Push,17:59,TPL-68E94556,Push,18:05,TPL-BFECB902,Push,19:09,TPL-881912BC,In-App,20:18,TPL-F468AE8D,Push,,,,,,
US_4,S6,paid,19,6,10:19,TPL-30A8386B,Push,11:22,TPL-4E07B35A,In-App,16:24,TPL-B42ACF74,Push,17:12,TPL-1B99BA9F,Push,19:22,TPL-B246DDB7,Push,20:58,TPL-DD8A4550,Push,,,,,,,,,
US_5,S7,churned,16,8,09:14,TPL-85BC6E74,Email,10:18,TPL-358F39A1,Push,11:03,TPL-3DBF55D2,Push,11:25,TPL-ADF4DFB9,Push,21:18,TPL-948B56FC,Push,22:15,TPL-3065D83B,Push,22:42,TPL-4730B846,In-App,23:23,TPL-3A8E2664,Push,,,
US_6,S5,trial,23,8,06:28,TPL-BD88BE34,Email,08:33,TPL-80B9B151,Push,12:08,TPL-C3A5EF26,Push,13:52,TPL-8DD39F5A,In-App,14:49,TPL-82D8591A,Push,18:53,TPL-D0D65650,Push,19:36,TPL-CFBC04E5,Push,20:29,TPL-50962686,Push,,,
US_7,S9,inactive,5,3,18:22,TPL-E00DC378,Email,19:34,TPL-F84B4DBA,Push,20:52,TPL-E4245775,Push,,,,,,,,,,,,,,,,,,
US_8,S5,trial,11,6,06:29,TPL-8DD39F5A,Push,08:44,TPL-597D873C,Push,13:08,TPL-C3A5EF26,Push,13:48,TPL-D0D65650,In-App,18:32,TPL-C0E74D5B,In-App,20:33,TPL-82D8591A,Push,,,,,,,,,
US_9,S5,trial,27,6,06:32,TPL-597D873C,Email,08:40,TPL-80B9B151,In-App,12:55,TPL-8DD39F5A,Push,14:40,TPL-82D8591A,Push,18:24,TPL-C0E74D5B,Push,19:37,TPL-50962686,Push,,,,,,,,,
US_10,S7,inactive,17,5,09:27,TPL-02022070,Email,11:23,TPL-1214E333,In-App,21:00,TPL-3178EE0A,Push,22:04,TPL-BA4D7FC9,Push,23:52,TPL-E262DC20,Push,,,,,,,,,,,,
US_11,S7,inactive,12,6,09:39,TPL-3178EE0A,Push,10:39,TPL-8986FD04,Push,11:18,TPL-BA4D7FC9,Push,21:08,TPL-5F02D9A7,Push,22:34,TPL-1214E333,In-App,23:29,TPL-C3E5556E,Push,,,,,,,,,
US_12,S6,paid,17,7,09:46,TPL-4E07B35A,Email,11:22,TPL-6DBF6F79,Push,15:32,TPL-1B99BA9F,In-App,16:39,TPL-A68F4CAE,In-App,18:40,TPL-DD8A4550,Push,19:10,TPL-B246DDB7,Push,20:59,TPL-B42ACF74,Push,,,,,,
US_13,S3,paid,1,5,15:07,TPL-BB2BFCB5,Email,15:45,TPL-4332C62D,Push,16:18,TPL-94785C95,In-App,17:07,TPL-88353F94,Push,17:41,TPL-7D088CED,Push,,,,,,,,,,,,
US_14,S6,trial,8,4,09:44,TPL-B1BBCB4B,Push,15:29,TPL-C6A0C296,In-App,19:08,TPL-637A906B,Push,19:59,TPL-881912BC,Push,,,,,,,,,,,,,,,
US_15,S7,churned,2,5,09:43,TPL-3DBF55D2,Push,10:51,TPL-948B56FC,In-App,21:22,TPL-3A8E2664,Push,22:07,TPL-0B7BED09,Push,23:39,TPL-85BC6E74,Push,,,,,,,,,,,,
US_16,S5,trial,17,3,07:24,TPL-D0D65650,Email,12:59,TPL-50962686,In-App,20:22,TPL-80B9B151,Push,,,,,,,,,,,,,,,,,,
US_17,S2,paid,15,3,11:05,TPL-32BB8A5B,Push,20:22,TPL-C677D6E0,Push,21:12,TPL-912F46AA,Push,,,,,,,,,,,,,,,,,,
US_18,S4,paid,5,3,08:16,TPL-C8227619,Push,19:01,TPL-3AE60005,Push,20:06,TPL-B598F5B1,Push,,,,,,,,,,,,,,,,,,
US_19,S6,paid,20,8,09:58,TPL-6DBF6F79,Email,11:31,TPL-DD8A4550,Push,15:45,TPL-B42ACF74,In-App,16:07,TPL-30A8386B,In-App,17:13,TPL-C1402D54,Push,18:21,TPL-1B99BA9F,In-App,19:41,TPL-A68F4CAE,In-App,20:31,TPL-4E07B35A,Push,,,
US_20,S7,trial,16,7,09:08,TPL-D615E020,Push,10:19,TPL-65DB8C9E,Push,11:22,TPL-8B9C1E33,Push,21:12,TPL-687A18A7,Push,22:19,TPL-B5A99395,Push,23:00,TPL-2F17122A,Push,23:55,TPL-4277CB51,Push,,,,,,
US_21,S1,paid,23,6,15:51,TPL-E7B188CA,Email,17:55,TPL-852F9FFE,In-App,19:03,TPL-0921E566,In-App,19:47,TPL-8BFAD2B3,Push,21:21,TPL-FB88A89E,In-App,22:36,TPL-7E54932C,Push,,,,,,,,,
US_22,S3,paid,8,6,15:16,TPL-DB086134,Push,15:55,TPL-BB2BFCB5,Push,16:20,TPL-7D088CED,Push,16:41,TPL-88353F94,In-App,17:23,TPL-8C31C531,Push,17:49,TPL-FF80B9DF,Push,,,,,,,,,
US_23,S6,trial,24,8,09:28,TPL-C26701D3,Push,11:43,TPL-FE192BEB,Push,15:45,TPL-637A906B,Push,16:18,TPL-192F9A4D,Push,17:37,TPL-BFECB902,Push,18:58,TPL-881912BC,In-App,19:14,TPL-F468AE8D,Push,20:58,TPL-68E94556,Push,,,
US_24,S4,paid,27,3,08:59,TPL-54F71B34,Push,18:53,TPL-3AE60005,Push,20:41,TPL-7819DB56,Push,,,,,,,,,,,,,,,,,,
US_25,S1,paid,15,5,17:33,TPL-E7B188CA,Push,18:15,TPL-8BFAD2B3,In-App,20:54,TPL-ADF6CA34,In-App,21:25,TPL-7E54932C,In-App,23:53,TPL-EE333065,Push,,,,,,,,,,,,
US_26,S1,paid,2,7,16:13,TPL-540BD593,Push,17:34,TPL-ADF6CA34,Push,18:11,TPL-7E54932C,Push,20:22,TPL-E7B188CA,In-App,21:36,TPL-FB88A89E,In-App,22:17,TPL-8BFAD2B3,Push,23:16,TPL-0921E566,Push,,,,,,
US_27,S6,trial,26,9,09:37,TPL-C26701D3,Email,10:00,TPL-881912BC,Push,11:01,TPL-68E94556,In-App,15:47,TPL-C6A0C296,Push,16:46,TPL-FE192BEB,Push,17:40,TPL-B1BBCB4B,Push,18:52,TPL-637A906B,In-App,19:57,TPL-192F9A4D,In-App,20:51,TPL-F468AE8D,Push
US_28,S9,churned,7,4,18:00,TPL-392D82C6,Email,18:46,TPL-46BC38A9,In-App,19:57,TPL-3A3147A5,In-App,20:33,TPL-83B753A4,Push,,,,,,,,,,,,,,,
US_29,S3,paid,22,8,15:13,TPL-FF80B9DF,Email,15:42,TPL-DB086134,In-App,15:59,TPL-94785C95,Push,16:21,TPL-E0427708,In-App,16:49,TPL-8C31C531,In-App,17:10,TPL-7D088CED,Push,17:18,TPL-4332C62D,Push,17:36,TPL-88353F94,Push,,,
US_30,S6,paid,19,4,10:33,TPL-DD8A4550,Email,16:13,TPL-4E07B35A,In-App,19:10,TPL-B246DDB7,In-App,20:23,TPL-A68F4CAE,Push,,,,,,,,,,,,,,,
US_31,S4,paid,7,9,06:43,TPL-1E14A993,Email,07:06,TPL-7819DB56,Push,08:13,TPL-78A55AB3,Push,08:56,TPL-B598F5B1,Push,18:20,TPL-2DDF8ABB,Push,18:59,TPL-3AE60005,Push,19:24,TPL-D0FA14D6,Push,20:15,TPL-CF2E7CC1,In-App,20:24,TPL-C8227619,Push
US_32,S2,paid,16,8,09:52,TPL-9CD9C9F7,Email,11:51,TPL-F06B2A91,Push,18:20,TPL-3F474B7B,Push,19:02,TPL-DD122BED,In-App,20:28,TPL-C677D6E0,In-App,21:50,TPL-49FF6F2D,Push,22:23,TPL-32BB8A5B,In-App,23:31,TPL-27E24099,Push,,,
US_33,S5,paid,15,6,06:59,TPL-CDCD93AE,Email,08:15,TPL-47A8969C,In-App,12:58,TPL-51C41336,In-App,14:46,TPL-0BDD1D1C,In-App,19:15,TPL-91ACB69A,Push,19:44,TPL-322958C5,Push,,,,,,,,,
US_34,S7,inactive,7,6,09:28,TPL-8986FD04,Push,10:57,TPL-BA4D7FC9,In-App,11:35,TPL-C3E5556E,Push,21:24,TPL-5F02D9A7,Push,22:03,TPL-3178EE0A,In-App,23:46,TPL-02022070,Push,,,,,,,,,
US_35,S5,paid,14,6,07:10,TPL-322958C5,Email,07:58,TPL-0BDD1D1C,In-App,12:02,TPL-BC026006,In-App,14:26,TPL-51C41336,Push,19:04,TPL-91ACB69A,Push,20:33,TPL-47A8969C,Push,,,,,,,,,
US_36,S2,paid,22,6,09:21,TPL-32BB8A5B,Email,11:33,TPL-DD122BED,In-App,18:03,TPL-3F474B7B,Push,20:11,TPL-F06B2A91,In-App,21:01,TPL-912F46AA,Push,23:47,TPL-D0106143,Push,,,,,,,,,
US_37,S6,trial,14,4,10:09,TPL-B1BBCB4B,Email,17:59,TPL-637A906B,Push,18:57,TPL-192F9A4D,Push,20:03,TPL-C26701D3,Push,,,,,,,,,,,,,,,
US_38,S6,paid,29,3,10:10,TPL-1B99BA9F,Push,17:09,TPL-B42ACF74,Push,19:20,TPL-DD8A4550,Push,,,,,,,,,,,,,,,,,,
US_39,S5,paid,11,7,06:58,TPL-C125D811,Email,07:48,TPL-322958C5,In-App,12:31,TPL-BC026006,In-App,14:13,TPL-91ACB69A,Push,18:38,TPL-47A8969C,In-App,19:53,TPL-137D1E96,Push,20:37,TPL-AC851CF1,Push,,,,,,
US_40,S6,trial,6,3,11:19,TPL-881912BC,Push,15:54,TPL-FE192BEB,Push,19:52,TPL-B1BBCB4B,Push,,,,,,,,,,,,,,,,,,
US_41,S1,paid,9,9,15:11,TPL-FB88A89E,Push,16:02,TPL-8BFAD2B3,In-App,17:50,TPL-540BD593,Push,18:25,TPL-7E54932C,Push,19:25,TPL-E7B188CA,In-App,20:04,TPL-852F9FFE,Push,21:48,TPL-EE333065,Push,22:46,TPL-0921E566,Push,23:08,TPL-ADF6CA34,Push
US_42,S7,inactive,22,3,09:33,TPL-02022070,Push,22:24,TPL-5F02D9A7,In-App,23:47,TPL-1214E333,Push,,,,,,,,,,,,,,,,,,
US_43,S6,trial,21,4,09:49,TPL-68E94556,Push,17:42,TPL-192F9A4D,In-App,19:05,TPL-FE192BEB,Push,20:02,TPL-C26701D3,Push,,,,,,,,,,,,,,,
US_44,S6,trial,1,5,11:21,TPL-881912BC,Push,16:13,TPL-FE192BEB,Push,16:50,TPL-637A906B,Push,19:18,TPL-BFECB902,In-App,19:39,TPL-F468AE8D,Push,,,,,,,,,,,,
US_45,S9,churned,12,4,18:14,TPL-392D82C6,Push,19:22,TPL-46BC38A9,In-App,20:12,TPL-45953843,Push,20:45,TPL-83B753A4,Push,,,,,,,,,,,,,,,
US_46,S8,inactive,27,6,21:04,TPL-98235D1E,Email,21:33,TPL-5B242954,In-App,22:08,TPL-8704C858,In-App,22:37,TPL-38D4F2E1,Push,23:13,TPL-98329E7B,Push,23:49,TPL-6C2F9EC9,Push,,,,,,,,,
US_47,S7,churned,24,6,09:46,TPL-ADF4DFB9,Push,10:52,TPL-0B7BED09,Push,11:14,TPL-3DBF55D2,In-App,21:03,TPL-85BC6E74,Push,22:48,TPL-4730B846,Push,23:05,TPL-DEEE50E9,Push,,,,,,,,,
US_48,S4,paid,27,4,06:13,TPL-1E14A993,Push,08:23,TPL-7819DB56,In-App,18:44,TPL-3AE60005,In-App,19:47,TPL-78A55AB3,Push,,,,,,,,,,,,,,,
US_49,S2,paid,8,3,10:34,TPL-C677D6E0,Email,18:05,TPL-912F46AA,Push,21:28,TPL-3F474B7B,Push,,,,,,,,,,,,,,,,,,
US_50,S2,paid,5,6,10:20,TPL-912F46AA,Push,11:38,TPL-49FF6F2D,In-App,18:20,TPL-9CD9C9F7,Push,20:20,TPL-32BB8A5B,Push,22:00,TPL-C677D6E0,Push,23:12,TPL-3F474B7B,Push,,,,,,,,,
US_51,S9,trial,11,5,18:16,TPL-C27B333B,Push,18:43,TPL-E562E919,Push,19:19,TPL-A26739C5,Push,20:23,TPL-62B8926A,Push,20:50,TPL-520655D3,Push,,,,,,,,,,,,
US_52,S5,paid,10,5,07:35,TPL-91ACB69A,Email,12:23,TPL-47A8969C,Push,14:45,TPL-C125D811,Push,19:18,TPL-51C41336,Push,19:32,TPL-137D1E96,Push,,,,,,,,,,,,
US_53,S6,trial,14,6,09:41,TPL-C26701D3,Push,11:22,TPL-F468AE8D,Push,15:52,TPL-BFECB902,Push,16:33,TPL-637A906B,Push,19:21,TPL-68E94556,Push,20:56,TPL-B1BBCB4B,Push,,,,,,,,,
US_54,S7,churned,7,9,09:15,TPL-358F39A1,Email,10:16,TPL-3A8E2664,Push,10:39,TPL-ADF4DFB9,Push,11:57,TPL-DEEE50E9,Push,21:25,TPL-948B56FC,In-App,21:41,TPL-3DBF55D2,Push,22:39,TPL-4730B846,Push,23:13,TPL-85BC6E74,Push,23:35,TPL-3065D83B,Push
US_55,S5,trial,28,3,06:42,TPL-BD88BE34,Email,12:09,TPL-CFBC04E5,Push,18:46,TPL-597D873C,Push,,,,,,,,,,,,,,,,,,
US_56,S5,trial,9,7,07:10,TPL-C0E74D5B,Email,08:40,TPL-8DD39F5A,In-App,13:04,TPL-82D8591A,In-App,14:57,TPL-C3A5EF26,Push,18:21,TPL-80B9B151,In-App,19:37,TPL-BD88BE34,Push,20:24,TPL-D0D65650,Push,,,,,,
US_57,S7,inactive,10,4,10:18,TPL-1214E333,Email,11:40,TPL-8986FD04,In-App,21:53,TPL-E262DC20,In-App,23:18,TPL-3178EE0A,Push,,,,,,,,,,,,,,,
US_58,S7,inactive,23,7,09:10,TPL-02022070,Push,10:01,TPL-C3E5556E,Push,11:47,TPL-E262DC20,Push,21:34,TPL-8986FD04,Push,22:26,TPL-5F02D9A7,Push,23:07,TPL-1214E333,Push,23:54,TPL-556A0DA7,Push,,,,,,
US_59,S1,paid,26,3,16:57,TPL-540BD593,Email,18:18,TPL-ADF6CA34,Push,22:01,TPL-FB88A89E,Push,,,,,,,,,,,,,,,,,,
US_60,S5,paid,9,4,06:54,TPL-C125D811,Email,12:54,TPL-0BDD1D1C,Push,18:47,TPL-91ACB69A,Push,19:39,TPL-AC851CF1,Push,,,,,,,,,,,,,,,
US_61,S2,paid,10,7,10:26,TPL-DD122BED,Push,10:31,TPL-49FF6F2D,Push,18:22,TPL-27E24099,Push,19:33,TPL-9CD9C9F7,In-App,21:58,TPL-3F474B7B,In-App,22:25,TPL-32BB8A5B,Push,23:44,TPL-F06B2A91,Push,,,,,,
