user_id,segment_id,lifecycle_stage,lifecycle_day,daily_limit,notif_1_time,notif_1_template_id,notif_1_channel,notif_2_time,notif_2_template_id,notif_2_channel,notif_3_time,notif_3_template_id,notif_3_channel,notif_4_time,notif_4_template_id,notif_4_channel,notif_5_time,notif_5_template_id,notif_5_channel,notif_6_time,notif_6_template_id,notif_6_channel,notif_7_time,notif_7_template_id,notif_7_channel,notif_8_time,notif_8_template_id,notif_8_channel,notif_9_time,notif_9_template_id,notif_9_channel
US_1,S4,paid,11,9,18:18,TPL-78A55AB3,Email,18:23,TPL-CF2E7CC1,Push,18:59,TPL-C8227619,Push,19:11,TPL-2DDF8ABB,In-App,19:35,TPL-54F71B34,Push,19:54,TPL-7819DB56,In-App,20:09,TPL-B598F5B1,Push,20:31,TPL-1E14A993,In-App,20:50,TPL-3AE60005,Push
US_2,S7,churned,13,2,10:45,TPL-948B56FC,Email,21:43,TPL-3DBF55D2,Push,,,,,,,,,,,,,,,,,,,,,
US_3,S6,trial,10,7,15:21,TPL-68E94556,Email,16:05,TPL-FE192BEB,Push,17:23,TPL-C26701D3,Push,18:12,TPL-C6A0C296,Push,19:13,TPL-B1BBCB4B,Push,19:31,TPL-637A906B,Push,20:50,TPL-F468AE8D,Push,,,,,,
US_4,S6,paid,26,4,16:13,TPL-DD8A4550,Email,17:59,TPL-1B99BA9F,Push,18:36,TPL-6DBF6F79,In-App,19:35,TPL-8756E6EA,Push,,,,,,,,,,,,,,,
US_5,S7,churned,15,2,09:46,TPL-4730B846,Push,23:58,TPL-ADF4DFB9,Push,,,,,,,,,,,,,,,,,,,,,
US_6,S5,trial,14,5,13:25,TPL-BD88BE34,Push,14:22,TPL-597D873C,Push,18:52,TPL-80B9B151,In-App,19:24,TPL-CFBC04E5,In-App,20:38,TPL-D0D65650,Push,,,,,,,,,,,,
US_7,S9,inactive,27,2,16:57,TPL-E554B99E,Email,19:46,TPL-E00DC378,Push,,,,,,,,,,,,,,,,,,,,,
US_8,S5,trial,13,6,12:38,TPL-CFBC04E5,Push,13:38,TPL-BD88BE34,Push,14:49,TPL-80B9B151,Push,18:50,TPL-D0D65650,Push,19:42,TPL-C3A5EF26,Push,20:22,TPL-8DD39F5A,Push,,,,,,,,,
US_9,S5,trial,4,6,12:42,TPL-597D873C,Email,13:24,TPL-BD88BE34,Push,14:19,TPL-C0E74D5B,In-App,18:30,TPL-D0D65650,Push,19:00,TPL-8DD39F5A,Push,20:23,TPL-82D8591A,Push,,,,,,,,,
US_10,S7,inactive,9,2,09:59,TPL-9EEB8504,Email,21:29,TPL-E262DC20,Push,,,,,,,,,,,,,,,,,,,,,
US_11,S7,inactive,8,2,10:41,TPL-BA4D7FC9,Email,21:59,TPL-E262DC20,Push,,,,,,,,,,,,,,,,,,,,,
US_12,S6,paid,27,6,15:23,TPL-1B99BA9F,Push,16:38,TPL-DD8A4550,In-App,17:47,TPL-8756E6EA,Push,18:55,TPL-B246DDB7,Push,19:31,TPL-B42ACF74,Push,20:10,TPL-6DBF6F79,Push,,,,,,,,,
US_13,S3,paid,28,4,15:25,TPL-BB2BFCB5,Push,16:14,TPL-E0427708,Push,16:42,TPL-88353F94,In-App,17:32,TPL-F94180D6,Push,,,,,,,,,,,,,,,
US_14,S6,trial,1,4,15:49,TPL-881912BC,Email,16:46,TPL-C6A0C296,Push,18:25,TPL-68E94556,Push,20:29,TPL-B1BBCB4B,Push,,,,,,,,,,,,,,,
US_15,S7,churned,4,2,09:31,TPL-3DBF55D2,Push,23:18,TPL-85BC6E74,Push,,,,,,,,,,,,,,,,,,,,,
US_16,S5,trial,1,4,12:48,TPL-BD88BE34,Email,13:55,TPL-82D8591A,In-App,18:30,TPL-80B9B151,In-App,20:39,TPL-C0E74D5B,Push,,,,,,,,,,,,,,,
US_17,S2,paid,11,4,18:42,TPL-3F474B7B,Email,20:22,TPL-27E24099,Push,21:27,TPL-32BB8A5B,Push,23:36,TPL-DD122BED,Push,,,,,,,,,,,,,,,
US_18,S4,paid,3,3,18:31,TPL-78A55AB3,Push,19:59,TPL-1E14A993,In-App,20:28,TPL-B598F5B1,Push,,,,,,,,,,,,,,,,,,
US_19,S6,paid,4,3,16:54,TPL-1B99BA9F,Push,18:13,TPL-DD8A4550,Push,19:50,TPL-30A8386B,Push,,,,,,,,,,,,,,,,,,
US_20,S7,trial,9,2,10:02,TPL-8B9C1E33,Email,22:46,TPL-D615E020,Push,,,,,,,,,,,,,,,,,,,,,
US_21,S1,paid,8,8,18:05,TPL-EE333065,Email,18:49,TPL-8BFAD2B3,In-App,19:34,TPL-0921E566,In-App,20:38,TPL-540BD593,In-App,21:36,TPL-ADF6CA34,Push,21:52,TPL-FB88A89E,In-App,23:07,TPL-E7B188CA,Push,23:45,TPL-B4D5946E,Push,,,
US_22,S3,paid,15,4,15:12,TPL-DB086134,Push,16:18,TPL-F94180D6,Push,16:49,TPL-94785C95,In-App,17:51,TPL-FF80B9DF,Push,,,,,,,,,,,,,,,
US_23,S6,trial,23,4,15:24,TPL-881912BC,Email,17:41,TPL-B1BBCB4B,In-App,18:13,TPL-F468AE8D,In-App,19:47,TPL-FE192BEB,Push,,,,,,,,,,,,,,,
US_24,S4,paid,2,7,18:00,TPL-CF2E7CC1,Push,18:47,TPL-78A55AB3,Push,19:05,TPL-3AE60005,Push,19:34,TPL-2DDF8ABB,Push,19:59,TPL-D0FA14D6,Push,20:15,TPL-1E14A993,Push,20:46,TPL-C8227619,Push,,,,,,
US_25,S1,paid,20,5,18:27,TPL-EE333065,Push,20:36,TPL-540BD593,Push,21:57,TPL-852F9FFE,Push,22:34,TPL-8BFAD2B3,Push,23:12,TPL-0921E566,Push,,,,,,,,,,,,
US_26,S1,paid,16,4,19:18,TPL-EE333065,Email,19:48,TPL-B4D5946E,Push,21:08,TPL-FB88A89E,Push,23:11,TPL-ADF6CA34,Push,,,,,,,,,,,,,,,
US_27,S6,trial,18,5,15:40,TPL-FE192BEB,Push,16:30,TPL-881912BC,Push,18:37,TPL-637A906B,Push,19:54,TPL-68E94556,In-App,20:23,TPL-C26701D3,Push,,,,,,,,,,,,
US_28,S9,churned,23,2,16:34,TPL-83B753A4,Email,19:49,TPL-45953843,Push,,,,,,,,,,,,,,,,,,,,,
US_29,S3,paid,10,4,15:19,TPL-94785C95,Email,15:50,TPL-88353F94,Push,16:30,TPL-E0427708,Push,17:49,TPL-BB2BFCB5,Push,,,,,,,,,,,,,,,
US_30,S6,paid,22,3,15:00,TPL-DD8A4550,Email,18:33,TPL-1B99BA9F,In-App,20:08,TPL-C1402D54,Push,,,,,,,,,,,,,,,,,,
US_31,S4,paid,22,4,18:02,TPL-78A55AB3,Email,18:52,TPL-C8227619,Push,19:53,TPL-7819DB56,Push,20:15,TPL-3AE60005,Push,,,,,,,,,,,,,,,
US_32,S2,paid,15,8,18:30,TPL-27E24099,Push,19:28,TPL-9CD9C9F7,Push,19:52,TPL-C677D6E0,Push,20:15,TPL-3F474B7B,Push,21:44,TPL-912F46AA,Push,21:50,TPL-DD122BED,In-App,22:57,TPL-F06B2A91,Push,23:43,TPL-D0106143,Push,,,
US_33,S5,paid,15,7,12:24,TPL-0BDD1D1C,Push,13:51,TPL-47A8969C,Push,14:32,TPL-51C41336,Push,18:05,TPL-BC026006,In-App,19:24,TPL-C125D811,In-App,19:54,TPL-137D1E96,Push,20:37,TPL-91ACB69A,Push,,,,,,
US_34,S7,inactive,22,2,11:41,TPL-9EEB8504,Email,21:15,TPL-E262DC20,Push,,,,,,,,,,,,,,,,,,,,,
US_35,S5,paid,8,4,12:59,TPL-BC026006,Email,14:50,TPL-0BDD1D1C,In-App,18:09,TPL-137D1E96,In-App,20:25,TPL-C125D811,Push,,,,,,,,,,,,,,,
US_36,S2,paid,11,3,20:12,TPL-49FF6F2D,Push,22:22,TPL-9CD9C9F7,Push,23:00,TPL-912F46AA,Push,,,,,,,,,,,,,,,,,,
US_37,S6,trial,4,7,15:51,TPL-BFECB902,Push,16:54,TPL-FE192BEB,Push,17:07,TPL-881912BC,Push,18:19,TPL-B1BBCB4B,Push,18:55,TPL-C26701D3,Push,19:44,TPL-C6A0C296,Push,20:23,TPL-F468AE8D,Push,,,,,,
US_38,S6,paid,8,8,15:21,TPL-DD8A4550,Push,15:45,TPL-1B99BA9F,Push,17:03,TPL-C1402D54,Push,17:40,TPL-B42ACF74,In-App,18:38,TPL-4E07B35A,In-App,19:11,TPL-A68F4CAE,Push,19:54,TPL-30A8386B,In-App,20:15,TPL-B246DDB7,Push,,,
US_39,S5,paid,3,6,12:07,TPL-0BDD1D1C,Email,13:49,TPL-C125D811,Push,14:09,TPL-CDCD93AE,In-App,18:28,TPL-91ACB69A,Push,19:59,TPL-47A8969C,Push,20:19,TPL-322958C5,Push,,,,,,,,,
US_40,S6,trial,12,6,15:51,TPL-BFECB902,Email,16:29,TPL-637A906B,In-App,17:57,TPL-68E94556,Push,18:18,TPL-F468AE8D,Push,19:26,TPL-192F9A4D,In-App,20:15,TPL-881912BC,Push,,,,,,,,,
US_41,S1,paid,21,3,19:45,TPL-EE333065,Email,22:29,TPL-0921E566,Push,22:43,TPL-7E54932C,Push,,,,,,,,,,,,,,,,,,
US_42,S7,inactive,4,2,11:49,TPL-E262DC20,Push,22:02,TPL-02022070,Push,,,,,,,,,,,,,,,,,,,,,
US_43,S6,trial,20,8,15:25,TPL-FE192BEB,Email,15:50,TPL-C26701D3,Push,17:06,TPL-BFECB902,Push,17:49,TPL-637A906B,In-App,18:05,TPL-68E94556,Push,19:24,TPL-881912BC,Push,19:30,TPL-F468AE8D,Push,20:31,TPL-192F9A4D,Push,,,
US_44,S6,trial,5,6,15:11,TPL-C26701D3,Email,16:45,TPL-B1BBCB4B,In-App,17:35,TPL-192F9A4D,Push,18:22,TPL-637A906B,Push,19:21,TPL-881912BC,In-App,20:23,TPL-BFECB902,Push,,,,,,,,,
US_45,S9,churned,8,2,16:11,TPL-5A31058C,Push,20:21,TPL-F77C5AF2,Push,,,,,,,,,,,,,,,,,,,,,
US_46,S8,inactive,5,6,21:27,TPL-8704C858,Email,21:55,TPL-98235D1E,Push,22:05,TPL-8DF72E9B,Push,22:55,TPL-6C2F9EC9,Push,23:19,TPL-5B242954,Push,23:36,TPL-85A5291F,Push,,,,,,,,,
US_47,S7,churned,16,2,11:21,TPL-948B56FC,Push,21:47,TPL-0B7BED09,Push,,,,,,,,,,,,,,,,,,,,,
US_48,S4,paid,19,9,18:02,TPL-78A55AB3,Push,18:20,TPL-54F71B34,Push,18:47,TPL-7819DB56,In-App,19:18,TPL-3AE60005,Push,19:33,TPL-CF2E7CC1,Push,19:47,TPL-D0FA14D6,Push,20:03,TPL-2DDF8ABB,Push,20:24,TPL-B598F5B1,Push,20:44,TPL-C8227619,Push
US_49,S2,paid,19,5,18:41,TPL-F06B2A91,Email,20:52,TPL-C677D6E0,Push,21:53,TPL-9CD9C9F7,In-App,22:07,TPL-27E24099,Push,23:48,TPL-D0106143,Push,,,,,,,,,,,,
US_50,S2,paid,15,4,18:38,TPL-C677D6E0,Push,20:59,TPL-912F46AA,Push,21:26,TPL-9CD9C9F7,Push,23:39,TPL-3F474B7B,Push,,,,,,,,,,,,,,,
US_51,S9,trial,23,2,17:22,TPL-770E0064,Push,19:49,TPL-520655D3,Push,,,,,,,,,,,,,,,,,,,,,
US_52,S5,paid,5,6,12:48,TPL-0BDD1D1C,Email,13:18,TPL-137D1E96,Push,14:38,TPL-51C41336,In-App,18:48,TPL-CDCD93AE,Push,19:34,TPL-BC026006,In-App,20:18,TPL-91ACB69A,Push,,,,,,,,,
US_53,S6,trial,8,6,15:03,TPL-68E94556,Email,16:25,TPL-881912BC,In-App,17:55,TPL-F468AE8D,Push,18:20,TPL-BFECB902,Push,19:48,TPL-FE192BEB,Push,20:44,TPL-B1BBCB4B,Push,,,,,,,,,
US_54,S7,churned,25,2,11:51,TPL-85BC6E74,Push,22:13,TPL-DEEE50E9,Push,,,,,,,,,,,,,,,,,,,,,
US_55,S5,trial,15,3,13:34,TPL-BD88BE34,Email,19:20,TPL-82D8591A,Push,20:10,TPL-CFBC04E5,Push,,,,,,,,,,,,,,,,,,
US_56,S5,trial,10,3,14:58,TPL-BD88BE34,Email,19:08,TPL-597D873C,Push,20:46,TPL-D0D65650,Push,,,,,,,,,,,,,,,,,,
