user_id,segment_id,lifecycle_stage,lifecycle_day,daily_limit,notif_1_time,notif_1_template_id,notif_1_channel,notif_2_time,notif_2_template_id,notif_2_channel,notif_3_time,notif_3_template_id,notif_3_channel,notif_4_time,notif_4_template_id,notif_4_channel,notif_5_time,notif_5_template_id,notif_5_channel,notif_6_time,notif_6_template_id,notif_6_channel,notif_7_time,notif_7_template_id,notif_7_channel,notif_8_time,notif_8_template_id,notif_8_channel,notif_9_time,notif_9_template_id,notif_9_channel
US_1,S4,paid,11,4,07:09,TPL-32CC4083,Push,08:47,TPL-7FAC26FE,In-App,18:47,TPL-224C84DD,In-App,20:06,TPL-E75F0196,Push,,,,,,,,,,,,,,,
US_2,S7,churned,10,5,09:13,TPL-5750BC2B,Email,10:42,TPL-76732567,In-App,21:56,TPL-5750BC2B,Push,22:25,TPL-76732567,In-App,23:00,TPL-5750BC2B,Push,,,,,,,,,,,,
US_3,S6,trial,22,3,09:51,TPL-B93DD7BE,Push,16:11,TPL-39377A63,Push,18:38,TPL-29CE9A11,Push,,,,,,,,,,,,,,,,,,
US_4,S6,paid,11,3,10:49,TPL-EEF0A94D,Push,17:00,TPL-550DB376,Push,18:53,TPL-FD17E31C,Push,,,,,,,,,,,,,,,,,,
US_5,S7,churned,1,3,10:45,TPL-5750BC2B,Email,21:37,TPL-2AEF8900,Push,23:54,TPL-B8237002,Push,,,,,,,,,,,,,,,,,,
US_6,S5,trial,29,6,07:09,TPL-0AE59B1C,Email,07:34,TPL-C13E45BF,In-App,12:15,TPL-BBC8E312,In-App,13:48,TPL-6604D383,In-App,18:25,TPL-ED69780C,Push,19:40,TPL-C13E45BF,Push,,,,,,,,,
US_7,S9,inactive,23,3,18:57,TPL-C2A7B2C0,Email,19:03,TPL-40E84F02,In-App,20:07,TPL-40E84F02,Push,,,,,,,,,,,,,,,,,,
US_8,S5,trial,3,3,07:04,TPL-79F8A53D,Email,13:22,TPL-8602934B,Push,20:23,TPL-BBC8E312,Push,,,,,,,,,,,,,,,,,,
US_9,S5,trial,21,5,06:45,TPL-87103D0C,Email,13:11,TPL-0AE59B1C,Push,13:39,TPL-BBC8E312,Push,19:07,TPL-0AE59B1C,Push,20:25,TPL-2DF765C2,Push,,,,,,,,,,,,
US_10,S7,inactive,6,8,09:33,TPL-3B0D71FD,Email,09:51,TPL-0723C9E2,In-App,10:41,TPL-F593B0F0,Push,11:29,TPL-3B0D71FD,Push,21:31,TPL-0723C9E2,In-App,22:02,TPL-0723C9E2,Push,23:14,TPL-1108B0D7,In-App,23:29,TPL-F593B0F0,Push,,,
US_11,S7,inactive,28,3,11:55,TPL-3B0D71FD,Email,21:03,TPL-1C7CEF7C,Push,23:38,TPL-FECAA28F,Push,,,,,,,,,,,,,,,,,,
