user_id,segment_id,lifecycle_stage,lifecycle_day,daily_limit,notif_1_time,notif_1_template_id,notif_1_channel,notif_2_time,notif_2_template_id,notif_2_channel,notif_3_time,notif_3_template_id,notif_3_channel,notif_4_time,notif_4_template_id,notif_4_channel,notif_5_time,notif_5_template_id,notif_5_channel,notif_6_time,notif_6_template_id,notif_6_channel,notif_7_time,notif_7_template_id,notif_7_channel,notif_8_time,notif_8_template_id,notif_8_channel,notif_9_time,notif_9_template_id,notif_9_channel
US_1,S4,paid,18,4,18:00,TPL-5DA6F9EE,Push,18:49,TPL-BF5CE227,Push,20:03,TPL-32CC4083,Push,20:40,TPL-E75F0196,Push,,,,,,,,,,,,,,,
US_2,S7,churned,26,2,09:40,TPL-5750BC2B,Push,22:13,TPL-76732567,Push,,,,,,,,,,,,,,,,,,,,,
US_3,S6,trial,29,3,17:22,TPL-4B44DAE9,Push,19:25,TPL-A1697B7A,Push,20:55,TPL-34374AEB,Push,,,,,,,,,,,,,,,,,,
US_4,S6,paid,19,3,17:42,TPL-EBEB8E09,Email,18:51,TPL-E24E54A7,Push,20:07,TPL-EEF0A94D,Push,,,,,,,,,,,,,,,,,,
US_5,S7,churned,18,2,09:45,TPL-2AEF8900,Push,23:01,TPL-14122234,Push,,,,,,,,,,,,,,,,,,,,,
US_6,S5,trial,20,6,12:36,TPL-BBC8E312,Email,13:10,TPL-79F8A53D,In-App,14:31,TPL-C13E45BF,In-App,18:17,TPL-BFBD90D8,Push,19:03,TPL-8602934B,Push,20:35,TPL-0AE59B1C,Push,,,,,,,,,
US_7,S9,inactive,2,2,16:24,TPL-80DBDA95,Email,19:23,TPL-5EF5E4B3,Push,,,,,,,,,,,,,,,,,,,,,
US_8,S5,trial,29,3,12:38,TPL-C13E45BF,Email,18:05,TPL-2DF765C2,In-App,20:32,TPL-0AE59B1C,Push,,,,,,,,,,,,,,,,,,
US_9,S5,trial,24,5,12:22,TPL-0AE59B1C,Email,14:47,TPL-6604D383,Push,18:08,TPL-87103D0C,Push,19:18,TPL-ED69780C,Push,20:03,TPL-8602934B,Push,,,,,,,,,,,,
US_10,S7,inactive,9,2,09:01,TPL-342ECCFE,Push,23:39,TPL-E98EE886,Push,,,,,,,,,,,,,,,,,,,,,
US_11,S7,inactive,15,2,09:51,TPL-342ECCFE,Push,22:32,TPL-9DCBB941,Push,,,,,,,,,,,,,,,,,,,,,
US_12,S6,paid,15,4,15:24,TPL-550DB376,Email,17:21,TPL-DC2BD3C4,Push,18:10,TPL-FD17E31C,Push,20:41,TPL-E24E54A7,Push,,,,,,,,,,,,,,,
US_13,S3,paid,5,8,15:21,TPL-D1214251,Email,15:36,TPL-E9BB4934,Push,15:50,TPL-351A76FF,Push,16:27,TPL-AED3991A,In-App,16:34,TPL-BA43E489,Push,17:08,TPL-CEFBD7A2,Push,17:28,TPL-1B9D99B0,Push,17:42,TPL-A3AFF246,Push,,,
US_14,S6,trial,14,9,15:39,TPL-5EB4D007,Email,16:13,TPL-4B44DAE9,In-App,16:45,TPL-34374AEB,Push,17:24,TPL-29CE9A11,Push,18:33,TPL-A1697B7A,Push,18:39,TPL-B93DD7BE,In-App,19:17,TPL-90C29339,In-App,20:12,TPL-3D8CC8F1,Push,20:56,TPL-39377A63,Push
US_15,S7,churned,6,2,11:13,TPL-8B099893,Push,23:37,TPL-86DB2BAB,Push,,,,,,,,,,,,,,,,,,,,,
US_16,S5,trial,2,6,12:47,TPL-6604D383,Email,13:26,TPL-2DF765C2,Push,14:06,TPL-8602934B,Push,18:45,TPL-87103D0C,Push,19:32,TPL-C13E45BF,Push,20:42,TPL-BFBD90D8,Push,,,,,,,,,
US_17,S2,paid,2,6,18:23,TPL-49DF5122,Email,19:27,TPL-ABEED083,Push,20:24,TPL-79127131,Push,21:33,TPL-300D5A59,Push,22:38,TPL-2FD1EA4E,Push,23:27,TPL-5736CEC3,Push,,,,,,,,,
US_18,S4,paid,21,9,18:08,TPL-F864461D,Push,18:38,TPL-132210CA,In-App,18:43,TPL-224C84DD,Push,19:09,TPL-7FAC26FE,Push,19:26,TPL-32CC4083,Push,19:53,TPL-E75F0196,In-App,20:07,TPL-BD44689A,Push,20:28,TPL-DD50AE66,In-App,20:40,TPL-BF5CE227,Push
US_19,S6,paid,2,9,15:16,TPL-36C61B4E,Push,16:06,TPL-FD17E31C,In-App,16:34,TPL-DC2BD3C4,Push,17:35,TPL-EBEB8E09,Push,18:31,TPL-8246C63B,In-App,18:36,TPL-EEF0A94D,Push,19:34,TPL-229EA8AA,In-App,20:07,TPL-4E8F547D,Push,20:55,TPL-E24E54A7,Push
US_20,S7,trial,7,2,11:59,TPL-A934D65F,Push,22:41,TPL-158447E3,Push,,,,,,,,,,,,,,,,,,,,,
